moment,network_hash,difficulty
'2009-04-26 11:00:00',0.000005610159001058201,1
'2009-04-27 11:00:00',0.0000055604487314285716,1
'2009-04-28 11:00:00',0.000005453926725079365,1
'2009-04-29 11:00:00',0.0000054113179225396826,1
'2009-04-30 11:00:00',0.000005461028192169312,1
'2009-05-01 11:00:00',0.000005858710349206349,1
'2009-05-02 11:00:00',0.000005901319151746031,1
'2009-05-03 11:00:00',0.000005958130888465608,1
'2009-05-04 11:00:00',0.0000059155220859259255,1
'2009-05-05 11:00:00',0.000006085957296084656,1
'2009-05-06 11:00:00',0.000006213783703703704,1
'2009-05-07 11:00:00',0.000006263493973333333,1
'2009-05-08 11:00:00',0.000006199580769523809,1
'2009-05-09 11:00:00',0.00000610016023026455,1
'2009-05-10 11:00:00',0.000005759289809947089,1
'2009-05-11 11:00:00',0.000005610159001058201,1
'2009-05-12 11:00:00',0.000005553347264338626,1
'2009-05-13 11:00:00',0.000005517839928888889,1
'2009-05-14 11:00:00',0.000005347404718730159,1
'2009-05-15 11:00:00',0.000005468129659259259,1
'2009-05-16 11:00:00',0.000005674072204867725,1
'2009-05-17 11:00:00',0.000005965232355555556,1
'2009-05-18 11:00:00',0.000006263493973333333,1
'2009-05-19 11:00:00',0.000006249291039153438,1
'2009-05-20 11:00:00',0.000005936826487195767,1
'2009-05-21 11:00:00',0.000006000739691005291,1
'2009-05-22 11:00:00',0.000005595956066878306,1
'2009-05-23 11:00:00',0.000005063346035132274,1
'2009-05-24 11:00:00',0.000004445518398306879,1
'2009-05-25 11:00:00',0.000004253778786878308,1
'2009-05-26 11:00:00',0.000004189865583068784,1
'2009-05-27 11:00:00',0.000004466822799576719,1
'2009-05-28 11:00:00',0.0000044597213324867735,1
'2009-05-29 11:00:00',0.000004552040404656086,1
'2009-05-30 11:00:00',0.000004871606423703703,1
'2009-05-31 11:00:00',0.000005418419389629631,1
'2009-06-01 11:00:00',0.000005390013521269841,1
'2009-06-02 11:00:00',0.000005120157771851853,1
'2009-06-03 11:00:00',0.000005020737232592594,1
'2009-06-04 11:00:00',0.000004679866812275133,1
'2009-06-05 11:00:00',0.000004473924266666668,1
'2009-06-06 11:00:00',0.000003934212767830688,1
'2009-06-07 11:00:00',0.0000033589939335449736,1
'2009-06-08 11:00:00',0.0000027908765663492073,1
'2009-06-09 11:00:00',0.0000028689927043386253,1
'2009-06-10 11:00:00',0.0000027269633625396826,1
'2009-06-11 11:00:00',0.0000028050795005291006,1
'2009-06-12 11:00:00',0.0000029684132435978834,1
'2009-06-13 11:00:00',0.0000033660954006349207,1
'2009-06-14 11:00:00',0.000003721168755132275,1
'2009-06-15 11:00:00',0.000004118850912169312,1
'2009-06-16 11:00:00',0.000004133053846349206,1
'2009-06-17 11:00:00',0.000003991024504550265,1
'2009-06-18 11:00:00',0.000003969720103280423,1
'2009-06-19 11:00:00',0.000003905806899470899,1
'2009-06-20 11:00:00',0.000003912908366560846,1
'2009-06-21 11:00:00',0.000003912908366560847,1
'2009-06-22 11:00:00',0.000003976821570370371,1
'2009-06-23 11:00:00',0.000003920009833650794,1
'2009-06-24 11:00:00',0.00000395551716910053,1
'2009-06-25 11:00:00',0.000004069140642539682,1
'2009-06-26 11:00:00',0.000003983923037460317,1
'2009-06-27 11:00:00',0.0000040052274387301585,1
'2009-06-28 11:00:00',0.000004047836241269842,1
'2009-06-29 11:00:00',0.000003799284893121693,1
'2009-06-30 11:00:00',0.000003848995162751323,1
'2009-07-01 11:00:00',0.000003912908366560846,1
'2009-07-02 11:00:00',0.0000037637775576719577,1
'2009-07-03 11:00:00',0.0000038702995640211645,1
'2009-07-04 11:00:00',0.0000038134878273015873,1
'2009-07-05 11:00:00',0.000003848995162751323,1
'2009-07-06 11:00:00',0.0000040833435767195765,1
'2009-07-07 11:00:00',0.000004090445043809524,1
'2009-07-08 11:00:00',0.00000397682157037037,1
'2009-07-09 11:00:00',0.00000397682157037037,1
'2009-07-10 11:00:00',0.000003998125971640211,1
'2009-07-11 11:00:00',0.000003991024504550265,1
'2009-07-12 11:00:00',0.000003948415702010582,1
'2009-07-13 11:00:00',0.000003934212767830688,1
'2009-07-14 11:00:00',0.000003891603965291005,1
'2009-07-15 11:00:00',0.000003891603965291006,1
'2009-07-16 11:00:00',0.0000036856614196825396,1
'2009-07-17 11:00:00',0.000003579139413333333,1
'2009-07-18 11:00:00',0.0000033376895322751324,1
'2009-07-19 11:00:00',0.0000027766736321693122,1
'2009-07-20 11:00:00',0.0000027269633625396826,1
'2009-07-21 11:00:00',0.000002670151625820106,1
'2009-07-22 11:00:00',0.000002762470697989418,1
'2009-07-23 11:00:00',0.000002868992704338624,1
'2009-07-24 11:00:00',0.0000029045000397883595,1
'2009-07-25 11:00:00',0.000003089138184126984,1
'2009-07-26 11:00:00',0.0000032879792626455023,1
'2009-07-27 11:00:00',0.0000029400073752380954,1
'2009-07-28 11:00:00',0.000002968413243597884,1
'2009-07-29 11:00:00',0.000002677253092910053,1
'2009-07-30 11:00:00',0.000002386092942222222,1
'2009-07-31 11:00:00',0.00000195290344973545,1
'2009-08-01 11:00:00',0.0000015552212926984129,1
'2009-08-02 11:00:00',0.0000015268154243386245,1
'2009-08-03 11:00:00',0.0000015410183585185187,1
'2009-08-04 11:00:00',0.0000011007273989417988,1
'2009-08-05 11:00:00',0.0000013847860825396826,1
'2009-08-06 11:00:00',0.0000018676858446560846,1
'2009-08-07 11:00:00',0.000002400295876402116,1
'2009-08-08 11:00:00',0.000002847688303068783,1
'2009-08-09 11:00:00',0.0000032169645917460317,1
'2009-08-10 11:00:00',0.0000037708790247619048,1
'2009-08-11 11:00:00',0.000004218271451428571,1
'2009-08-12 11:00:00',0.000004140155313439153,1
'2009-08-13 11:00:00',0.000003969720103280424,1
'2009-08-14 11:00:00',0.000003934212767830688,1
'2009-08-15 11:00:00',0.000003813487827301587,1
'2009-08-16 11:00:00',0.000003430008604444444,1
'2009-08-17 11:00:00',0.000002847688303068783,1
'2009-08-18 11:00:00',0.0000024358032118518525,1
'2009-08-19 11:00:00',0.000002009715186455027,1
'2009-08-20 11:00:00',0.0000016901491674074077,1
'2009-08-21 11:00:00',0.000001242756740740741,1
'2009-08-22 11:00:00',8.947848533333334e-7,1
'2009-08-23 11:00:00',7.598569786243386e-7,1
'2009-08-24 11:00:00',7.314511102645502e-7,1
'2009-08-25 11:00:00',7.17248176084656e-7,1
'2009-08-26 11:00:00',0.0000010013068596825396,1
'2009-08-27 11:00:00',0.0000012143508723809523,1
'2009-08-28 11:00:00',0.000001264061142010582,1
'2009-08-29 11:00:00',0.0000016972506344973544,1
'2009-08-30 11:00:00',0.0000022085562649735446,1
'2009-08-31 11:00:00',0.000002783775099259259,1
'2009-09-01 11:00:00',0.0000032879792626455027,1
'2009-09-02 11:00:00',0.000003486820341164021,1
'2009-09-03 11:00:00',0.0000036146467487830687,1
'2009-09-04 11:00:00',0.000003841893695661376,1
'2009-09-05 11:00:00',0.0000037637775576719572,1
'2009-09-06 11:00:00',0.000003742473156402116,1
'2009-09-07 11:00:00',0.0000035436320778835973,1
'2009-09-08 11:00:00',0.000003486820341164021,1
'2009-09-09 11:00:00',0.000003422907137354497,1
'2009-09-10 11:00:00',0.000003337689532275132,1
'2009-09-11 11:00:00',0.0000033802983348148145,1
'2009-09-12 11:00:00',0.0000034016027360846562,1
'2009-09-13 11:00:00',0.000003351892466455026,1
'2009-09-14 11:00:00',0.000003401602736084656,1
'2009-09-15 11:00:00',0.000003373196867724868,1
'2009-09-16 12:00:00',0.000003195660190476191,1
'2009-09-17 12:00:00',0.0000033234865980952386,1
'2009-09-18 12:00:00',0.000003444211538624339,1
'2009-09-19 12:00:00',0.000003522327676613757,1
'2009-09-20 12:00:00',0.000003557835012063492,1
'2009-09-21 12:00:00',0.000003579139413333333,1
'2009-09-22 12:00:00',0.0000035436320778835977,1
'2009-09-23 12:00:00',0.000003408704203174603,1
'2009-09-24 12:00:00',0.000003153051387936508,1
'2009-09-25 12:00:00',0.00000324537046010582,1
'2009-09-26 12:00:00',0.0000033376895322751324,1
'2009-09-27 12:00:00',0.000003522327676613757,1
'2009-09-28 12:00:00',0.0000035862408804232803,1
'2009-09-29 12:00:00',0.000003699864353862434,1
'2009-09-30 12:00:00',0.000004147256780529101,1
'2009-10-01 12:00:00',0.000004495228667936509,1
'2009-10-02 12:00:00',0.0000043887066615873025,1
'2009-10-03 12:00:00',0.000004253778786878307,1
'2009-10-04 12:00:00',0.00000395551716910053,1
'2009-10-05 12:00:00',0.000003714067288042328,1
'2009-10-06 12:00:00',0.000003501023275343915,1
'2009-10-07 12:00:00',0.0000031814572562962963,1
'2009-10-08 12:00:00',0.0000030039205790476193,1
'2009-10-09 12:00:00',0.0000029187029739682537,1
'2009-10-10 12:00:00',0.0000029684132435978834,1
'2009-10-11 12:00:00',0.000003103341118306878,1
'2009-10-12 12:00:00',0.0000032524719271957672,1
'2009-10-13 12:00:00',0.0000032737763284656085,1
'2009-10-14 12:00:00',0.0000033731968677248674,1
'2009-10-15 12:00:00',0.0000034371100715343913,1
'2009-10-16 12:00:00',0.0000034442115386243384,1
'2009-10-17 12:00:00',0.0000033092836639153436,1
'2009-10-18 12:00:00',0.000003167254322116402,1
'2009-10-19 12:00:00',0.000003167254322116402,1
'2009-10-20 12:00:00',0.000003550733544973545,1
'2009-10-21 12:00:00',0.000003820589294391535,1
'2009-10-22 12:00:00',0.000003898705432380953,1
'2009-10-23 12:00:00',0.000004033633307089948,1
'2009-10-24 12:00:00',0.000004239575852698413,1
'2009-10-25 12:00:00',0.000004275083188148148,1
'2009-10-26 12:00:00',0.000004289286122328042,1
'2009-10-27 12:00:00',0.000003998125971640212,1
'2009-10-28 12:00:00',0.000003777980491851852,1
'2009-10-29 12:00:00',0.000003678559952592592,1
'2009-10-30 12:00:00',0.0000033660954006349203,1
'2009-10-31 12:00:00',0.0000031601528550264554,1
'2009-11-01 12:00:00',0.0000030465293815873014,1
'2009-11-02 12:00:00',0.00000268435456,1
'2009-11-03 12:00:00',0.0000024144988105820104,1
'2009-11-04 12:00:00',0.000002400295876402117,1
'2009-11-05 12:00:00',0.0000023789914751322757,1
'2009-11-06 12:00:00',0.000002457107613121693,1
'2009-11-07 12:00:00',0.000002471310547301588,1
'2009-11-08 12:00:00',0.0000026346442903703703,1
'2009-11-09 12:00:00',0.0000029755147106878305,1
'2009-11-10 12:00:00',0.0000031956601904761905,1
'2009-11-11 12:00:00',0.000003309283663915344,1
'2009-11-12 12:00:00',0.000003316385131005291,1
'2009-11-13 12:00:00',0.0000033802983348148145,1
'2009-11-14 12:00:00',0.0000035081247424338622,1
'2009-11-15 12:00:00',0.000003579139413333333,1
'2009-11-16 12:00:00',0.000003742473156402116,1
'2009-11-17 12:00:00',0.00000397682157037037,1
'2009-11-18 12:00:00',0.0000040762421096296295,1
'2009-11-19 12:00:00',0.000004182764115978837,1
'2009-11-20 12:00:00',0.000004211169984338625,1
'2009-11-21 12:00:00',0.000004253778786878307,1
'2009-11-22 12:00:00',0.000004211169984338624,1
'2009-11-23 12:00:00',0.000004282184655238095,1
'2009-11-24 12:00:00',0.000004275083188148148,1
'2009-11-25 12:00:00',0.000004282184655238095,1
'2009-11-26 12:00:00',0.0000043603007932275124,1
'2009-11-27 12:00:00',0.000004459721332486772,1
'2009-11-28 12:00:00',0.000004374503727407408,1
'2009-11-29 12:00:00',0.000004360300793227514,1
'2009-11-30 12:00:00',0.000004033633307089947,1
'2009-12-01 12:00:00',0.000003884502498201058,1
'2009-12-02 12:00:00',0.000003742473156402116,1
'2009-12-03 12:00:00',0.0000037708790247619043,1
'2009-12-04 12:00:00',0.0000037992848931216936,1
'2009-12-05 12:00:00',0.000003529429143703704,1
'2009-12-06 12:00:00',0.0000034797188740740743,1
'2009-12-07 12:00:00',0.000003785081958941799,1
'2009-12-08 12:00:00',0.000004047836241269842,1
'2009-12-09 12:00:00',0.000004275083188148149,1
'2009-12-10 12:00:00',0.000004289286122328043,1
'2009-12-11 12:00:00',0.000004402909595767197,1
'2009-12-12 12:00:00',0.000004942621094603174,1
'2009-12-13 12:00:00',0.000005269288580740741,1
'2009-12-14 12:00:00',0.000005347404718730158,1
'2009-12-15 12:00:00',0.000005276390047830688,1
'2009-12-16 12:00:00',0.000005311897383280423,1
'2009-12-17 12:00:00',0.000005595956066878306,1
'2009-12-18 12:00:00',0.000006057551427724867,1
'2009-12-19 12:00:00',0.000006860017208888888,1
'2009-12-20 12:00:00',0.000007484946312804234,1
'2009-12-21 12:00:00',0.000007918135805291006,1
'2009-12-22 12:00:00',0.000008436542902857144,1
'2009-12-23 12:00:00',0.000008805819191534393,1
'2009-12-24 12:00:00',0.000008933645599153441,1
'2009-12-25 12:00:00',0.000008827123592804233,1
'2009-12-26 12:00:00',0.000008287412093968255,1
'2009-12-27 12:00:00',0.000008116976883809523,1
'2009-12-28 12:00:00',0.000008060165147089947,1
'2009-12-29 12:00:00',0.000007790309397671959,1
'2009-12-30 12:00:00',0.000007854222601481481,1
'2009-12-31 12:00:00',0.00000776190352931217,1
'2010-01-01 12:00:00',0.000007648280055873017,1
'2010-01-02 12:00:00',0.000007527555115343915,1
'2010-01-03 12:00:00',0.000007186684695026455,1
'2010-01-04 12:00:00',0.000007321612569735449,1
'2010-01-05 12:00:00',0.000007634077121693121,1
'2010-01-06 12:00:00',0.000007825816733121694,1
'2010-01-07 12:00:00',0.00000798204900910053,1
'2010-01-08 12:00:00',0.000008095672482539684,1
'2010-01-09 12:00:00',0.000008244803291428571,1
'2010-01-10 12:00:00',0.000008422339968677249,1
'2010-01-11 12:00:00',0.000008450745837037037,1
'2010-01-12 12:00:00',0.0000082945135610582,1
'2010-01-13 12:00:00',0.000008017556344550264,1
'2010-01-14 12:00:00',0.000008024657811640211,1
'2010-01-15 12:00:00',0.000007946541673650795,1
'2010-01-16 12:00:00',0.00000786132406857143,1
'2010-01-17 12:00:00',0.000007676685924232805,1
'2010-01-18 12:00:00',0.000007257699365925926,1
'2010-01-19 12:00:00',0.0000070162494848677245,1
'2010-01-20 12:00:00',0.000006767698136719576,1
'2010-01-21 12:00:00',0.000006725089334179894,1
'2010-01-22 12:00:00',0.000006952336281058201,1
'2010-01-23 12:00:00',0.000006895524544338625,1
'2010-01-24 12:00:00',0.000007144075892486773,1
'2010-01-25 12:00:00',0.000007307409635555555,1
'2010-01-26 12:00:00',0.000007918135805291005,1
'2010-01-27 12:00:00',0.000008422339968677249,1
'2010-01-28 12:00:00',0.000008464948771216933,1
'2010-01-29 12:00:00',0.000008479151705396827,1
'2010-01-30 12:00:00',0.000008933645599153441,1
'2010-01-31 12:00:00',0.000009288718953650792,1
'2010-02-01 12:00:00',0.000009366835091640212,1
'2010-02-02 12:00:00',0.000009175095480211639,1
'2010-02-03 12:00:00',0.000008820022125714288,1
'2010-02-04 12:00:00',0.00000957277763724868,1
'2010-02-05 12:00:00',0.00001156828988952381,2
'2010-02-06 12:00:00',0.000013336555194920635,2
'2010-02-07 12:00:00',0.00001457221046857143,2
'2010-02-08 12:00:00',0.000016482505115767195,2
'2010-02-09 12:00:00',0.000018016422007195768,2
'2010-02-10 12:00:00',0.000019926716654391537,2
